#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217  xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
 1  1415.811 3.0394121 0.95685838  1.040637 0.022102022 0.12124015 0.052212198 0.99842809 0.99969564 0.99798602 55.986527 0.027771615 4.8802473 1.6584115 10.279317 12.997463 19.146218 90.090195 268.04308 45.940802 35.248344 106.57093    0.099954686 0.081813386 0.41514584 0.15356922 0.72334673 2.4403287 2.0892957e-09 66.610421  0.3245188 0.14398731 0.67539977 0.24528873 0.24661485 2.6366884 7.5433644  0.8117124 0.99456023 0.46240456 0.61264958 2.0892957 1.8821272 13.838031 147.06572 22.491471 20.473859  2.017612  2786.639 25.223073 395.93158 2356.3161 9.1682137
 2  1416.685 3.0449838 0.95794687  1.040637 0.022102022 0.12124015 0.052212198  1.0014025 0.99998808 0.99748008 52.103565   0.1376406 4.4073914 2.4677792 11.005115 11.262358 17.718517  90.22646 263.61485 48.017602 38.364189 115.55415     0.14686331 0.091458079 0.48728241 0.13626612 0.70138388 2.4831926  2.100969e-09 66.610421  0.3245188 0.14398731 0.67539977 0.24528873 0.24661485 2.6366884 7.5433644 0.81430736 0.99773974 0.46388282 0.61460816  2.100969  1.892643 13.838031 147.06572  22.07072 20.053148 2.0175722 2789.2287   24.9001 395.95905 2358.9138 9.4556982
 3 1414.3007 3.0513866 0.95807893 1.0407682 0.022172412 0.12134654 0.055235045  1.0020029 0.99898487  0.9979908 55.699822  0.40359135 2.7356869 3.0621992 9.8192055 13.260007  18.45336 87.955534 302.25896 60.849994 42.947573 108.94452     0.14381186  0.15227228 0.51661494 0.21476849 0.66115273 2.2390921 2.1144644e-09 66.675244 0.32428576 0.14416409 0.67563297  0.2453182 0.24664443 2.6231998 7.8419411 0.81713386  1.0007161 0.46532581 0.61663074 2.1144644 1.8933192 13.827394  146.9594 22.760098 20.506631  2.253467 2783.0812 24.931675  396.5049 2351.9498 9.6949101
 2 1421.8993  3.067699 0.96068865 1.0404572 0.022274834 0.12018469 0.065070029  1.0014981 0.99905551 0.99839831 49.767992  0.58911179 3.3844586 4.3558122 5.4915944 11.872054 14.456564  86.18493 275.73145 44.351262 42.233424 115.44052 -1.3623135e-05  0.14681542 0.43803864 0.29983337 0.68075393 1.8965809 2.1492392e-09 67.058868 0.31823018 0.14310467 0.68168948 0.24536041  0.2466868 2.6035944 8.7735878 0.82003666  1.0013944 0.46259821 0.61591192 2.1492392 1.8869729 13.821692 147.15118 28.220689  26.19906 2.0216293 2787.3573 24.710661 400.14176 2352.6964 9.8084634
 1 1421.3842 3.0541125 0.96175663 1.0404768 0.022470951 0.11957071  0.05798888  1.0018021 0.99981517  0.9986869 52.824686  0.35514837 4.2593246 4.1313193 3.6691471 9.6774936  15.75507 88.329272 266.29154 42.448725 35.139786 106.91112    0.023956345  0.12545778 0.38969661 0.29877541 0.69171838 1.6560894  2.120236e-09 67.441999 0.31370608  0.1426868 0.68621448 0.24543736 0.24676403 2.5670258  8.021179 0.81194318 0.98869063 0.45476507 0.60765401  2.120236 1.8880596 13.798738  147.0953 27.803601 25.669849 2.1337512 2787.1612 24.305848 397.01198 2357.2099 8.6334385
 1 1418.9805 3.0488656 0.96536494 1.0405998 0.022450144 0.11788361 0.057033302  1.0023253  1.0003642 0.99877602 46.999932   0.1418409   5.88032 3.4594955 7.3089705 11.609397 22.793039 104.22036 270.82448  46.65759 34.219852 111.94043    0.082152124  0.11565589 0.43737497  0.2816203 0.77266135 1.7723163 2.1091405e-09 68.063823 0.30431364  0.1409789 0.69560836  0.2454297 0.24675634 2.5707856 7.9029038 0.80534808    0.97617 0.44426729 0.59815534 2.1091405  1.881772 13.789862 147.56648 22.779288 20.131544 2.6477439 2792.4024 23.369777  396.5748 2363.7027 8.7551193
 1 1417.1429 3.0503393 0.96418993 1.0405998 0.022450144 0.11788361 0.057033302  1.0029013  1.0003257 0.99860317 50.621422  0.15413472 5.4668462   5.39701    8.2113  12.39815  19.74351 96.799993 285.88001 39.347848 29.366639 103.17055    0.078449147  0.11603488 0.43529573 0.21125918 0.68992382 1.6308554 2.1122509e-09 68.063823 0.30431364  0.1409789 0.69560836  0.2454297 0.24675634 2.5707856 7.9029038 0.80558281 0.97645452 0.44439678 0.59832968 2.1122509 1.8845472 13.789862 147.56648 22.600707 19.385023 3.2156842 2789.0844 23.658311 396.58498 2360.2018 8.6393325
 3 1417.9561 3.0531276 0.96538075 1.0405998 0.022450144 0.11788361 0.057033302  1.0042616  0.9999023 0.99843766 50.148875  0.37161896 6.0422848 5.0591526 6.9434866 12.559751 24.228991 100.95815 266.17836 44.031966 31.504144 104.99823     0.11884032  0.12949558 0.47438787 0.16736202 0.62968549 1.8373177 2.1181488e-09 68.063823 0.30431364  0.1409789 0.69560836  0.2454297 0.24675634 2.5707856 7.9029038 0.80707094  0.9782583  0.4452177 0.59943496 2.1181488 1.8898092 13.789862 147.56648 23.380407 19.845105 3.5353022 2789.1514 23.396773 396.58797 2360.6131 8.5534924
 1  1419.682 3.0307112  0.9613501 1.0410243 0.022236615 0.11966977 0.043507213  1.0044396  1.0002745 0.99891236 46.387504  0.29568289 6.8447681 6.1243719 8.4230842 13.230629 24.672916 104.30156 276.48953  41.81531 32.517346 110.41383    0.045129622  0.11725648 0.43882832   0.204882 0.66224946 2.1157145 2.0711957e-09 67.397095 0.31382643 0.14255153 0.68609403 0.24534469 0.24667102 2.6109025 6.5619708 0.80419845 0.97958616 0.45051368 0.60191561 2.0711957 1.8985903 13.806436 147.32992 27.726508 22.520302 5.2062058  2783.911 23.844773 396.34769 2354.8073 8.9112452
 4 1417.8587 3.0502328  0.9632101 1.0409818 0.022295832 0.11903596 0.054434748  1.0046467  1.0003744 0.99847468 50.754724  0.65131614 2.1057281 9.1403704 11.244407 11.175868 18.714407  91.14904 295.64124 49.607322 31.439606 100.87451    0.096770712  0.14535616 0.52653479 0.18430047  0.6549286 2.3449546 2.1120261e-09 67.654979  0.3101832 0.14197694 0.68973786 0.24536901 0.24669543 2.5995917  7.695407 0.81021196 0.98502843  0.4512402 0.60464883 2.1120261 1.8941652 13.799046 147.43195 23.407124 20.886389 2.5207343 2788.9032 23.699176 396.13188 2360.4727  8.599477
