#weight  minuslogpost         A         ns        H0      omegab     omegam      DES_DzS1      DES_DzS2      DES_DzS3      DES_DzS4         DES_m1        DES_m2        DES_m3        DES_m4       DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
 1 105.62861 4.0972585 0.91209466 85.713658 0.041664559  0.1966184   0.0061672296  -0.042301744   0.026008531   0.0045304651  -0.039183516   0.034983628  -0.019815166  -0.003861303   0.85342061  2.8158249 0 0.030610248    0.113368 4.0972585e-09 0.24833322  1.0426275 0.46231848 0.69428089 -12.304272 -12.304272 235.86577 235.86577
18 98.041553 3.7714853 0.92877681 85.713658 0.041664559  0.1966184   0.0044548169  -0.021081233   0.011079022    0.019699831   0.012853826   0.017044493  -0.013244773 -0.0069638439   0.92734295  1.2527179 0 0.030610248    0.113368 3.7714853e-09 0.24833322  1.0078598 0.44690189 0.67112922 -17.376704 -17.376704 230.83652 230.83652
 2  103.0249 3.7684658 0.92874222 85.713658 0.041664559  0.1966184   0.0015514003  -0.032293079   0.021863835  -0.0084832394 -0.0016071644   0.031234612  -0.046374654  -0.035006613    1.2170648  2.6180566 0 0.030610248    0.113368 3.7684658e-09 0.24833322  1.0074405 0.44671597 0.67085002 -12.753926 -12.753926 231.55764 231.55764
 1 98.976587 3.8824838 0.93983265 56.677748 0.045537767 0.27880967    0.006946927  -0.018219939   0.020706244   -0.030440678    0.02423577   0.018868622   0.014315523   0.025431369    1.0969855   2.898553 0 0.014628403 0.074728256 3.8824838e-09 0.24114463 0.83247586 0.43956749 0.60492093 -18.687795 -18.687795 235.32876 235.32876
 3 98.721141  3.268465   1.027921 56.677748 0.045537767 0.27880967   0.0026763595    -0.0178619  0.0083526038 -0.00069419259  -0.018048869  0.0045352642   0.034868153   0.025835471    1.1112304  4.5886928 0 0.014628403 0.074728256  3.268465e-09 0.24114463 0.78156331 0.41268443 0.56792518 -17.978105 -17.978105 233.39849 233.39849
 4 99.426975 3.1731437  1.0217298 57.335879 0.046427824 0.28160583    0.022413442  -0.023718247    0.01453889   -0.017020909   0.019535916  0.0096449355 0.00035847141   0.052681763   0.37375173  2.1574185 0 0.015262697 0.077100404 3.1731437e-09 0.24158929  0.7818945  0.4149244 0.56958503  -16.88517  -16.88517 232.62429 232.62429
 3 98.887351 2.9843747  1.0172447 60.776947 0.052549098 0.28619242  -0.0022553004   -0.01125853   0.017421935   -0.015519996   0.014413584   0.037536333 -0.0015221135    0.01818594  -0.07078947  2.2176951 0 0.019410782 0.086065736 2.9843747e-09 0.24401143 0.79261644 0.42402566 0.57973245 -18.590083 -18.590083 234.95487 234.95487
 3 98.887248 2.6123453  1.0603274 60.776947 0.052549098 0.28619242  0.00086210606  -0.017124682   0.020289151    0.013428154   0.010465297   0.026729591   0.011728927   0.018223183 -0.085330695  2.6220307 0 0.019410782 0.086065736 2.6123453e-09 0.24401143 0.75167015 0.40212064 0.54978367 -18.092614 -18.092614 233.95973 233.95973
 1 98.921065 2.4317353  1.0534956 67.338614 0.056592218 0.27923194   0.0019981484   -0.02135248  0.0065965445  -0.0002009091    0.01571615   0.019421391   0.043107611 -0.0026822005 -0.061650371  4.9156361 0 0.025661679   0.1006632 2.4317353e-09 0.24668614 0.78039585  0.4123799 0.56729143 -18.332197 -18.332197 234.50652 234.50652
 1 99.746614 2.6255666  1.0583913  64.32733 0.050426077 0.27318725   0.0037253471   -0.01664765  0.0028828543   -0.019657651   0.035800119   0.018844236   0.016442923 -0.0053673848  -0.18215581  2.9297996 0 0.020866338 0.091911732 2.6255666e-09 0.24472861 0.78726105 0.41148023 0.56915935 -18.799908 -18.799908 237.09304 237.09304
