#weight  minuslogpost         A         ns        H0      omegab     omegam       DES_DzS1      DES_DzS2       DES_DzS3      DES_DzS4        DES_m1        DES_m2        DES_m3       DES_m4    DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
11 100.55766  3.236397 0.93415836 70.152155 0.036140346 0.23478849    0.013863125  -0.0096001483  0.0012951542   -0.058713074   0.043889081    0.016398604    0.014147391   0.051241784 0.70638072   1.6240109 0 0.017785838 0.097443707  3.236397e-09 0.24314159 0.90978854 0.44083784 0.63330025 -14.810922 -14.810922 230.73717 230.73717
 2 103.48961 3.0745205 0.93077645 70.152155 0.036140346 0.23478849    0.014321778  -0.0090534755   0.015595935    0.018787706  -0.017177001    0.060072421    0.027433927   0.054787844 0.64656804    1.122673 0 0.017785838 0.097443707 3.0745205e-09 0.24314159 0.88565825 0.42914551 0.61650325 -12.627227 -12.627227 232.23367 232.23367
 3 103.60478 3.0272945 0.92635057 80.053389 0.034843248 0.20710552  -0.0024758986  -0.0076956341   0.028982464    0.010298332  -0.026118702    0.055710117  -0.0048087413 -0.0043069353  1.2791545   2.8962134 0 0.022329453  0.10998161 3.0272945e-09 0.24538266 0.93419561 0.42514166 0.63021065 -13.343582 -13.343582 233.89673 233.89673
 2 102.29503 3.2707553 0.89486313 80.053389 0.034843248 0.20710552 -0.00074340249  -0.0099066062   0.019815567   -0.010799251 0.00046537876    0.067265162    0.049711221   0.021684597  1.3394515    2.941425 0 0.022329453  0.10998161 3.2707553e-09 0.24538266 0.95823989 0.43608393 0.64643098 -14.673679 -14.673679 233.93743 233.93743
 7 102.79735 3.0316097 0.89283093 85.490303 0.044636875 0.21225227    -0.02556708  -0.0071368027  0.0068167215 -0.00033482197  -0.016066723   -0.013761143    0.010682786   0.059244374 0.63416127   2.7277508 0  0.03262327  0.12203174 3.0316097e-09 0.24889064 0.92350226 0.42546529 0.62683184 -14.480409 -14.480409 234.55552 234.55552
10 98.921274 2.9517297 0.88557145  85.67915 0.044201367 0.21424108    0.008273587   -0.007234371   0.027137788   -0.033468611   0.034083585  -0.0028792924 -0.00045331738   0.017289887 0.54351971  0.64091241 0 0.032447856  0.12435114 2.9517297e-09 0.24884118  0.9220541 0.42678365 0.62730982 -16.873403 -16.873403 231.58935 231.58935
 2 99.440577 2.9678422 0.88174523  85.67915 0.044201367 0.21424108    0.008677155 -3.8810703e-05   0.025878249    0.014112063    0.02500608    0.023636807   0.0076933587    0.03262602 0.84463156    3.704342 0 0.032447856  0.12435114 2.9678422e-09 0.24884118 0.92296818 0.42720674 0.62793171 -15.704217 -15.704217 230.28959 230.28959
26 100.58593 2.8323945 0.87269134 80.772363 0.045888783 0.23520514 -0.00016372069   -0.013127295   0.012146292   -0.042809153   0.019234958    0.023533235    0.039719246   0.012264501 0.60703408   -2.412708 0 0.029938644   0.1230924 2.8323945e-09 0.24812002 0.90067714 0.43680997 0.62723581 -18.219122 -18.219122  237.6101  237.6101
 5 98.386551 2.8756065 0.94275045 80.772363 0.045888783 0.23520514    0.015167427  -0.0074628887   0.015213492    -0.03631659   0.026914205   0.0067401186   0.0088735189   0.041548446 0.98047717  0.34808124 0 0.029938644   0.1230924 2.8756065e-09 0.24812002 0.93555607 0.45372554 0.65152566 -17.419454 -17.419454 231.61201 231.61201
 7 101.85797 2.8774283 0.94331806 80.586345 0.046152774  0.2359694    0.032227764  -0.0029029681   0.017640769    -0.01791572   0.033931626     0.02669552   -0.039692823 -0.0012580445  1.4476031   3.9413009 0 0.029972345  0.12285097 2.8774283e-09  0.2481307 0.93418774  0.4537974 0.65110059 -13.318668 -13.318668 230.35328 230.35328
